id,customer_message,context,true_intent,expected_decision,expected_handling_reason,reference_resolution
gold_039,I got an error saying 'Unable to Verify Update' when trying to install iOS 11 on my iPhone 7.,Customer inquiry #39,ios_software_update,AUTO_HANDLE,OTA verification failure check.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_040,My iPhone 8 camera app crashes every time I open portrait mode since the 11.2 update.,Customer inquiry #40,ios_software_update,AUTO_HANDLE,App crash post-update troubleshooting.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_041,Is there an update coming soon to fix the calculator animation bug in iOS 11?,Customer inquiry #41,ios_software_update,AUTO_HANDLE,Known bug release roadmap inquiry.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_042,How long does an iOS update usually take to prepare on iPhone 6s?,Customer inquiry #42,ios_software_update,AUTO_HANDLE,OTA preparation duration guide.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_043,"My phone won't turn on after installing the latest update, just a black screen.",Customer inquiry #43,ios_software_update,AUTO_HANDLE,Hard reset sequence after update.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_044,My battery drops 20% in 10 minutes while using GPS maps in my car.,Customer inquiry #44,battery_performance,AUTO_HANDLE,High drain app optimization advice.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_045,Can fast charging with a 29W USB-C charger damage my iPhone 8 battery?,Customer inquiry #45,battery_performance,AUTO_HANDLE,Fast charging technical explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_046,Why does my iPhone battery percentage jump around randomly from 50% to 20% to 35%?,Customer inquiry #46,battery_performance,AUTO_HANDLE,Battery calibration and degradation diagnostics.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_047,Is wireless charging bad for iPhone X battery health over time?,Customer inquiry #47,battery_performance,AUTO_HANDLE,Inductive charging battery wear facts.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_048,"My battery health dropped from 100% to 92% in just two months, is that normal?",Customer inquiry #48,battery_performance,AUTO_HANDLE,Standard battery aging curve explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_049,I received an email claiming my Apple ID was suspended. How do I know if it's phishing scam?,Customer inquiry #49,apple_id_account_security,ESCALATE,Phishing / scam detection keyword trigger.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_050,Someone created an Apple ID using my personal email address without my permission.,Customer inquiry #50,apple_id_account_security,ESCALATE,Identity dispute / unauthorized account creation.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_051,How do I change my primary Apple ID email address from yahoo to gmail?,Customer inquiry #51,apple_id_account_security,AUTO_HANDLE,Self-serve Apple ID change procedure.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_052,My account is locked and security questions are not working. I need help resetting.,Customer inquiry #52,apple_id_account_security,ESCALATE,Account lockout with failed recovery verification.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_053,How do I setup two-factor authentication on my iPad for the first time?,Customer inquiry #53,apple_id_account_security,AUTO_HANDLE,2FA setup walkthrough.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_054,I was billed twice for Netflix through Apple iTunes billing. Please reverse the duplicate charge.,Customer inquiry #54,app_store_billing_subscriptions,ESCALATE,Duplicate billing dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_055,How can I see my complete iTunes purchase history on my iPhone?,Customer inquiry #55,app_store_billing_subscriptions,AUTO_HANDLE,Purchase history review guide.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_056,App Store won't let me download free apps because my account has an unpaid previous balance.,Customer inquiry #56,app_store_billing_subscriptions,AUTO_HANDLE,Unpaid balance resolution steps.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_057,I was scammed by a fake subscription app charging $50 a week and want a full refund!,Customer inquiry #57,app_store_billing_subscriptions,ESCALATE,Scam / fraudulent app dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_058,Can I pay for App Store subscriptions using an Apple Store Gift Card?,Customer inquiry #58,app_store_billing_subscriptions,AUTO_HANDLE,Gift card redemption policy.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_059,"My iPhone will not connect to 5GHz Wi-Fi network, only 2.4GHz works.",Customer inquiry #59,connectivity_network_bluetooth,AUTO_HANDLE,Wi-Fi band troubleshooting.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_060,AirPods case light is flashing amber and won't connect to my phone.,Customer inquiry #60,connectivity_network_bluetooth,AUTO_HANDLE,AirPods amber light reset procedure.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_061,Cellular data is not working while traveling abroad even with roaming enabled.,Customer inquiry #61,connectivity_network_bluetooth,AUTO_HANDLE,Data roaming APN settings.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_062,My phone loses cellular service completely in areas where everyone else has full bars.,Customer inquiry #62,connectivity_network_bluetooth,AUTO_HANDLE,Carrier settings / SIM card check.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_063,Personal Hotspot disappeared from Settings menu on my iPhone.,Customer inquiry #63,connectivity_network_bluetooth,AUTO_HANDLE,Personal hotspot carrier provisioning.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_064,The microphone is muffled during calls but works fine on speakerphone.,Customer inquiry #64,device_hardware_display,AUTO_HANDLE,Bottom microphone cleaning / test.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_065,My iPhone 7 earpiece speaker has very low volume even when turned up to max.,Customer inquiry #65,device_hardware_display,AUTO_HANDLE,Receiver speaker mesh cleaning steps.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_066,There is a dark spot in the corner of all photos taken with my main camera.,Customer inquiry #66,device_hardware_display,AUTO_HANDLE,Camera sensor dust/damage inspection.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_067,How much is an out-of-warranty screen repair for iPhone 8 Plus?,Customer inquiry #67,device_hardware_display,AUTO_HANDLE,Screen repair pricing inquiry.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_068,Contacts from my iPhone are not showing up on iCloud.com website.,Customer inquiry #68,data_sync_backup_icloud,AUTO_HANDLE,iCloud Contacts toggle sync guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_069,How do I delete old device backups from iCloud to free up storage space?,Customer inquiry #69,data_sync_backup_icloud,AUTO_HANDLE,iCloud backup management.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_070,My computer iTunes does not recognize my iPhone when plugged into USB.,Customer inquiry #70,data_sync_backup_icloud,AUTO_HANDLE,Trust Computer prompt / driver troubleshooting.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_071,Can I share my 200GB iCloud storage plan with family members?,Customer inquiry #71,data_sync_backup_icloud,AUTO_HANDLE,Family Sharing iCloud setup guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_072,How do I check how much AppleCare warranty time I have left on my iPad?,Customer inquiry #72,general_inquiry_features,AUTO_HANDLE,Check Coverage website guide.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_073,Can I trade in a damaged iPhone at an Apple Retail Store for store credit?,Customer inquiry #73,general_inquiry_features,AUTO_HANDLE,Trade-in policy walkthrough.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_074,I need to speak with a human agent right now regarding my order.,Customer inquiry #74,general_inquiry_features,ESCALATE,Human agent trigger.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_075,What is the difference between iPhone 8 and iPhone X?,Customer inquiry #75,general_inquiry_features,AUTO_HANDLE,Product comparison specs.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_076,"Hi AppleSupport, I got an error saying 'Unable to Verify Update' when trying to install iOS 11 on my iPhone 7.",Customer inquiry #76,ios_software_update,AUTO_HANDLE,OTA verification failure check.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_077,"Hi AppleSupport, My iPhone 8 camera app crashes every time I open portrait mode since the 11.2 update.",Customer inquiry #77,ios_software_update,AUTO_HANDLE,App crash post-update troubleshooting.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_078,"Hi AppleSupport, Is there an update coming soon to fix the calculator animation bug in iOS 11?",Customer inquiry #78,ios_software_update,AUTO_HANDLE,Known bug release roadmap inquiry.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_079,"Hi AppleSupport, How long does an iOS update usually take to prepare on iPhone 6s?",Customer inquiry #79,ios_software_update,AUTO_HANDLE,OTA preparation duration guide.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_080,"Hi AppleSupport, My phone won't turn on after installing the latest update, just a black screen.",Customer inquiry #80,ios_software_update,AUTO_HANDLE,Hard reset sequence after update.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_081,"Hi AppleSupport, My battery drops 20% in 10 minutes while using GPS maps in my car.",Customer inquiry #81,battery_performance,AUTO_HANDLE,High drain app optimization advice.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_082,"Hi AppleSupport, Can fast charging with a 29W USB-C charger damage my iPhone 8 battery?",Customer inquiry #82,battery_performance,AUTO_HANDLE,Fast charging technical explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_083,"Hi AppleSupport, Why does my iPhone battery percentage jump around randomly from 50% to 20% to 35%?",Customer inquiry #83,battery_performance,AUTO_HANDLE,Battery calibration and degradation diagnostics.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_084,"Hi AppleSupport, Is wireless charging bad for iPhone X battery health over time?",Customer inquiry #84,battery_performance,AUTO_HANDLE,Inductive charging battery wear facts.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_085,"Hi AppleSupport, My battery health dropped from 100% to 92% in just two months, is that normal?",Customer inquiry #85,battery_performance,AUTO_HANDLE,Standard battery aging curve explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_086,"Hi AppleSupport, I received an email claiming my Apple ID was suspended. How do I know if it's phishing scam?",Customer inquiry #86,apple_id_account_security,ESCALATE,Phishing / scam detection keyword trigger.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_087,"Hi AppleSupport, Someone created an Apple ID using my personal email address without my permission.",Customer inquiry #87,apple_id_account_security,ESCALATE,Identity dispute / unauthorized account creation.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_088,"Hi AppleSupport, How do I change my primary Apple ID email address from yahoo to gmail?",Customer inquiry #88,apple_id_account_security,AUTO_HANDLE,Self-serve Apple ID change procedure.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_089,"Hi AppleSupport, My account is locked and security questions are not working. I need help resetting.",Customer inquiry #89,apple_id_account_security,ESCALATE,Account lockout with failed recovery verification.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_090,"Hi AppleSupport, How do I setup two-factor authentication on my iPad for the first time?",Customer inquiry #90,apple_id_account_security,AUTO_HANDLE,2FA setup walkthrough.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_091,"Hi AppleSupport, I was billed twice for Netflix through Apple iTunes billing. Please reverse the duplicate charge.",Customer inquiry #91,app_store_billing_subscriptions,ESCALATE,Duplicate billing dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_092,"Hi AppleSupport, How can I see my complete iTunes purchase history on my iPhone?",Customer inquiry #92,app_store_billing_subscriptions,AUTO_HANDLE,Purchase history review guide.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_093,"Hi AppleSupport, App Store won't let me download free apps because my account has an unpaid previous balance.",Customer inquiry #93,app_store_billing_subscriptions,AUTO_HANDLE,Unpaid balance resolution steps.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_094,"Hi AppleSupport, I was scammed by a fake subscription app charging $50 a week and want a full refund!",Customer inquiry #94,app_store_billing_subscriptions,ESCALATE,Scam / fraudulent app dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_095,"Hi AppleSupport, Can I pay for App Store subscriptions using an Apple Store Gift Card?",Customer inquiry #95,app_store_billing_subscriptions,AUTO_HANDLE,Gift card redemption policy.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_096,"Hi AppleSupport, My iPhone will not connect to 5GHz Wi-Fi network, only 2.4GHz works.",Customer inquiry #96,connectivity_network_bluetooth,AUTO_HANDLE,Wi-Fi band troubleshooting.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_097,"Hi AppleSupport, AirPods case light is flashing amber and won't connect to my phone.",Customer inquiry #97,connectivity_network_bluetooth,AUTO_HANDLE,AirPods amber light reset procedure.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_098,"Hi AppleSupport, Cellular data is not working while traveling abroad even with roaming enabled.",Customer inquiry #98,connectivity_network_bluetooth,AUTO_HANDLE,Data roaming APN settings.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_099,"Hi AppleSupport, My phone loses cellular service completely in areas where everyone else has full bars.",Customer inquiry #99,connectivity_network_bluetooth,AUTO_HANDLE,Carrier settings / SIM card check.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_100,"Hi AppleSupport, Personal Hotspot disappeared from Settings menu on my iPhone.",Customer inquiry #100,connectivity_network_bluetooth,AUTO_HANDLE,Personal hotspot carrier provisioning.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_101,"Hi AppleSupport, The microphone is muffled during calls but works fine on speakerphone.",Customer inquiry #101,device_hardware_display,AUTO_HANDLE,Bottom microphone cleaning / test.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_102,"Hi AppleSupport, My iPhone 7 earpiece speaker has very low volume even when turned up to max.",Customer inquiry #102,device_hardware_display,AUTO_HANDLE,Receiver speaker mesh cleaning steps.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_103,"Hi AppleSupport, There is a dark spot in the corner of all photos taken with my main camera.",Customer inquiry #103,device_hardware_display,AUTO_HANDLE,Camera sensor dust/damage inspection.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_104,"Hi AppleSupport, How much is an out-of-warranty screen repair for iPhone 8 Plus?",Customer inquiry #104,device_hardware_display,AUTO_HANDLE,Screen repair pricing inquiry.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_105,"Hi AppleSupport, Contacts from my iPhone are not showing up on iCloud.com website.",Customer inquiry #105,data_sync_backup_icloud,AUTO_HANDLE,iCloud Contacts toggle sync guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_106,"Hi AppleSupport, How do I delete old device backups from iCloud to free up storage space?",Customer inquiry #106,data_sync_backup_icloud,AUTO_HANDLE,iCloud backup management.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_107,"Hi AppleSupport, My computer iTunes does not recognize my iPhone when plugged into USB.",Customer inquiry #107,data_sync_backup_icloud,AUTO_HANDLE,Trust Computer prompt / driver troubleshooting.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_108,"Hi AppleSupport, Can I share my 200GB iCloud storage plan with family members?",Customer inquiry #108,data_sync_backup_icloud,AUTO_HANDLE,Family Sharing iCloud setup guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_109,"Hi AppleSupport, How do I check how much AppleCare warranty time I have left on my iPad?",Customer inquiry #109,general_inquiry_features,AUTO_HANDLE,Check Coverage website guide.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_110,"Hi AppleSupport, Can I trade in a damaged iPhone at an Apple Retail Store for store credit?",Customer inquiry #110,general_inquiry_features,AUTO_HANDLE,Trade-in policy walkthrough.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_111,"Hi AppleSupport, I need to speak with a human agent right now regarding my order.",Customer inquiry #111,general_inquiry_features,ESCALATE,Human agent trigger.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_112,"Hi AppleSupport, What is the difference between iPhone 8 and iPhone X?",Customer inquiry #112,general_inquiry_features,AUTO_HANDLE,Product comparison specs.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_113,Question: I got an error saying 'Unable to Verify Update' when trying to install iOS 11 on my iPhone 7.,Customer inquiry #113,ios_software_update,AUTO_HANDLE,OTA verification failure check.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_114,Question: My iPhone 8 camera app crashes every time I open portrait mode since the 11.2 update.,Customer inquiry #114,ios_software_update,AUTO_HANDLE,App crash post-update troubleshooting.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_115,Question: Is there an update coming soon to fix the calculator animation bug in iOS 11?,Customer inquiry #115,ios_software_update,AUTO_HANDLE,Known bug release roadmap inquiry.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_116,Question: How long does an iOS update usually take to prepare on iPhone 6s?,Customer inquiry #116,ios_software_update,AUTO_HANDLE,OTA preparation duration guide.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_117,"Question: My phone won't turn on after installing the latest update, just a black screen.",Customer inquiry #117,ios_software_update,AUTO_HANDLE,Hard reset sequence after update.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_118,Question: My battery drops 20% in 10 minutes while using GPS maps in my car.,Customer inquiry #118,battery_performance,AUTO_HANDLE,High drain app optimization advice.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_119,Question: Can fast charging with a 29W USB-C charger damage my iPhone 8 battery?,Customer inquiry #119,battery_performance,AUTO_HANDLE,Fast charging technical explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_120,Question: Why does my iPhone battery percentage jump around randomly from 50% to 20% to 35%?,Customer inquiry #120,battery_performance,AUTO_HANDLE,Battery calibration and degradation diagnostics.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_121,Question: Is wireless charging bad for iPhone X battery health over time?,Customer inquiry #121,battery_performance,AUTO_HANDLE,Inductive charging battery wear facts.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_122,"Question: My battery health dropped from 100% to 92% in just two months, is that normal?",Customer inquiry #122,battery_performance,AUTO_HANDLE,Standard battery aging curve explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
